ID,Dead, Age ,Gender,Race,Class,Major1,Major2,Minor1,Minor2,Position,Profession,Industry,City,State
1038290,,32,Female,Black or African American,2011,Nursing,,,,,,Healthcare/Medical Services,Dighton,MA
396751,,40,Female,Black or African American,2000,International Relations,Political Science,,,"""	Executive Assistant & Portfolio Coordinator",,,Livermore,CA
1476901,,26,Female,Asian,2016,Chemistry,,Physics,,“Synthesis and Analysis of Silver Conductive Ink”,,,Boston,MA
1257384,,32,Female,White,2012,History,,,,19th Century Project Survey/Processing Archivist,,Libraries,Newmarket,NH
10052625,,55,Female,,1985,Communications,English,,,1st Deputy General Counsel,,Government - State/Local,Roslindale,MA
1212904,,30,Female,White,2010,Psychology,,,,1st Grade Teacher,,Education - Primary/Secondary,Jamaica Plain,MA
10011884,,64,Female,,1976,English,,,,1st Grade Teacher,,,New York,NY
10046601,,52,Female,,1988,Communications,English,,,1st Grade Teacher,,,Middleboro,MA
336429,,42,Female,White,1999,Elementary Education,Sociology,,,1st grade teacher,,,Califon,NJ
793741,,36,Female,White,2005,Social Studies,,,,1st Grade Teacher,,,Baltimore,MD
10044568,,67,Female,,1974,Sociology,,,,"1st Grade Teacher, Center School",,,Hanover,MA
10005874,,67,Female,,1973,Education,,,,2nd Grade Teacher,,,Cambridge,MA
10047231,,53,Female,,1988,Early Childhood Education,,,,2nd Grade Teacher,,,East Bridgewater,MA
10051617,,,Female,,1989,Education,,,,2nd Grade Teacher,,,Newton,MA
157220,,46,Female,White,1994,Elementary Education,Spanish,,,2nd Grade Teacher,,,Middleboro,MA
175732,,46,Female,White,1994,Art,Early Childhood Education,,,2nd Grade Teacher,,,Wellesley Hills,MA
355173,,43,Female,White,1997,Elementary Education,Sociology,,,2nd Grade Teacher,,,Auburndale,MA
1329874,,29,Female,White,2012,Psychology,,,,2nd Grade Teacher,,,Auburndale,MA
508908,,35,Female,White,2005,Psychology,,Elementary Education,,"2nd Grade Teacher, Driscoll Elementary",,Education - Primary/Secondary,West Roxbury,MA
229045,,44,Female,White,1996,Human Services,Sociology,,,"2nd Grade Teacher, John J. Shaughnessy Elementary",,,Tyngsboro,MA
10004039,,64,Female,Black or African American,1977,Education,,,,2nd VP,,,Howard,OH
688260,,34,Female,White,2007,Communications,,,,3's and 4's Lead Teacher,,Education - Primary/Secondary,Chicago,IL
291278,,42,Female,White,1998,Elementary Education,Sociology,,,3rd Grade School Teacher,,,Arlington,MA
238626,,47,Female,White,1994,Elementary Education,English,,,3rd Grade Special Education Teacher,,,Foxboro,MA
801158,,36,Female,White,2005,Political Science,Women's Studies,,,3rd Grade Teacher,,Education - Related Services,Atlanta,GA
10002780,,49,Female,,1971,Education,English,,,3rd Grade Teacher,,,Portsmouth,NH
10012788,,63,Female,,1977,Elementary Education,Special Education,,,3rd Grade Teacher,,,Phoenix,AZ
564425,,36,Female,White,2005,Applied Music,Member of the Honors,Arts Administration,Elementary Education,3rd Grade Teacher,,,Melrose,MA
118225,,47,Female,White,1993,Early Childhood Education,Spanish,,,4-6 Grade LD Teacher,,,Springfield,VA
559610,,36,Female,White,2004,International Relations,Member of the Honors,Economics,Political Science,4th Grade Associate Teacher,,Education - Related Services,Auburn,ME
10025843,,67,Female,,1973,Education,,,,4th Grade Teacher,,,Winter Haven,FL
10054796,,59,Female,,1982,Communications,,,,4th Grade Teacher,,,Lowell,MA
508003,,37,Female,White,2004,Psychology,,Elementary Education,Special Education,4th Grade Teacher,,,Mansfield,MA
10001679,,49,Female,,1971,Communications,,,,5R Rights Consultant,,,Essex,MA
309584,,41,Female,White,1999,Education,Psychology,,,5th Grade Teacher,,,East Weymouth,MA
388173,,40,Female,White,2001,English,,Education,,5th Grade Teacher,,,Alexandria,NH
10051839,,59,Female,,1982,Economics,Finance,,,5th Grade Teahcer,,,Bridgeport,CT
946619,,32,Female,White,2008,Spanish,,,,6/7 Math Teacher,,Education - Related Services,Dedham,MA
10012971,,66,Female,,1974,Education,Psychology,,,6th Grade English Language Arts Teacher,,Education - Primary/Secondary,North Reading,MA
107769,,54,Female,White,1987,Communications,English,,,"6th Grade English Teacher, Middle School",,Education - Primary/Secondary,Lexington,MA
10056483,,60,Female,,1980,Biology,,,,6th Grade Science Teacher,,,East Hampstead,NH
10044002,,67,Female,Black or African American,1974,Education,,,,6th Grade Teacher,,,Garnet Valley,PA
10052125,,58,Female,,1983,Communications,,,,6th Grade Teacher,,,Monroe,CT
793329,,34,Female,White,2007,Sociology,,,,"6th Grade Teacher, Consentino Middle School",,,Indianapolis,IN
779461,,34,Female,White,2007,Education (secondary),English,,,7th Grade English Language Arts Teacher,,Education - Primary/Secondary,Providence,RI
10005795,,48,Female,,1969,Education,,,,7th Grade Teacher,,,Medfield,MA
10032409,,50,Female,,1972,English,,,,7th Grade Teacher,,,Lexington,MA
502801,,63,Female,,2001,OPEN Program,Special Education,,,8th Grade Inclusion Specialist,,,Swampscott,MA
494641,,38,Female,White,2003,Environmental Science,,,,8th Grade Math Teacher,,Education - Primary/Secondary,Peru,ME
10049563,,53,Female,,1987,Economics,Mathematics,,,"8th Grade Math Teacher, H. H. Poole Middle School",,,Stafford,VA
645089,,34,Female,White,2007,Psychology,,,,ABA Counselor,,,Arlington,MA
1150572,,32,Female,White,2010,International Relations,,,,"ABP, Google Fiber",,International Affairs,San Francisco,CA
1494693,,25,Female,White,2015,Finance,,,,Academic Advisor,,Education - Higher,Boston,MA
10052543,,57,Female,,1984,Psychology,,,,"Academic Advisor/Instructor, Human Ecology",,Education - Higher,Greenville,NC
283829,,43,Female,White,1998,English,Psychology,,,Academic Counselor,,,Middleboro,MA
10029947,,71,Female,,1969,English,,,,Academic Dean,,Education - Higher,Seattle,WA
566936,,36,Female,Black or African American,2005,Psychology,,Elementary Education,,Academic Instructor,,,Fort Washington,MD
1461265,,25,Female,White,2016,Member of the Honors,Nursing,,,Academic Intern,,Business Consulting Services,Chelmsford,MA
1018195,,31,Female,White,2009,Sociology,,,,Account Associate,,Healthcare/Medical Services,Natick,MA
1479765,,28,Female,Asian,2015,Marketing,,,,Account Coordinator,,Energy/Mining,Sungnam Kyunggi,
943600,,38,Female,White,2006,Public Relations and Marketing,,,,Account Coordinator,,Advertising/Public Relations/Marketing,Mansfield,MA
1463113,,26,Female,White,2015,Communications,,,,Account Coordinator,,Advertising/Public Relations/Marketing,Auburn,NH
1495415,,26,Female,White,2015,Marketing,,,,Account Coordinator,,Advertising/Public Relations/Marketing,New York,NY
1473931,,25,Female,White,2016,Communications,Marketing,Media Arts,Public Relations and Marketing,Account Coordinator,,Advertising/Public Relations/Marketing,Brookline,MA
1476790,,25,Female,White,2016,Communications,Management,Sustainability,,Account Coordinator,,Advertising/Public Relations/Marketing,Avon,CT
111797,,51,Female,White,1991,Communications,,,,Account Coordinator,,,Hartford,CT
278205,,43,Female,White,1997,Communications,French,,,Account Coordinator,,,Oceanside,CA
347458,,41,Female,,1999,Public Relations and Marketing,,,,Account Coordinator,,,Bow,NH
479067,,36,Female,White,2004,Communications,,,,Account Coordinator,,,Mansfield,MA
576916,,35,Female,White,2006,Marketing,,Political Science,,Account Coordinator,,,Seekonk,MA
1259219,,32,Female,White,2010,Communications,,,,Account Coordinator,,,New York,NY
1322043,,28,Female,White,2012,Marketing,,,,Account Development Manager,,,Duxbury,MA
696042,,34,Female,,2006,Public Relations and Marketing,,Spanish,,Account Director,,Consumer Product,London,
10030902,,61,Female,,1979,Management,,,,Account Director,,,FAIRLIGHT NSW,
563469,,36,Female,White,2004,Economics,Managerial Finance,,,"Account Director, Strategy & Brand Planning",,Automobile and Parts Dealers,Wyckoff,NJ
1208005,,27,Female,,2013,Political Science,,Africana Studies,,Account Executive,,Non-Profit,Mattapan,MA
1401559,,27,Female,,2013,Art,Communications,,,Account Executive,,Manufacturing,San Francisco,CA
1029251,,31,Female,White,2010,Communications,,,,Account Executive,,Broadcasting,Middlebury,CT
392455,,41,Female,White,2000,Public Relations and Marketing,,History,,Account Executive,,Advertising/Public Relations/Marketing,Raleigh,NC
793475,,35,Female,White,2006,Communications,,,,Account Executive,,Advertising/Public Relations/Marketing,Cromwell,CT
1150535,,30,Female,,2010,Communications,,,,Account Executive,,Advertising/Public Relations/Marketing,Boston,MA
1212587,,29,Female,White,2012,Business and Management,Communications,Cinema & Media Studies,,Account Executive,,Advertising/Public Relations/Marketing,New York,NY
1379096,,28,Female,,2013,Business (General),Communications,Public Relations and Marketing,,Account Executive,,Advertising/Public Relations/Marketing,Boston,MA
1617984,,24,Female,White,2016,Business and Management,,Media Arts,,Account Executive,,Advertising/Public Relations/Marketing,New York,NY
10015024,,46,Female,,1961,Business (General),,,,Account Executive,,,New York,NY
10045375,,,Female,Asian,1977,Management,,,,Account Executive,,,Waltham,MA
10046556,,59,Female,,1981,Communications,,,,Account Executive,,,Hingham,MA
10048201,,58,Female,,1982,Management,,,,Account Executive,,,Malden,MA
10047290,,56,Female,,1984,Advertising,,,,Account Executive,,,Yarmouth Port,MA
10026189,,55,Female,White,1985,Economics,,,,Account Executive,,,South Portland,ME
10052594,,,Female,,1987,Communications,,,,Account Executive,,,Peabody,MA
