"","X","ID","Dead","Age","Gender","Race","Class","Major1","Major2","Minor1","Minor2","Position","Profession","Industry","City","State","loc","Nurse","lon","lat"
"1",197,947983,0,"33","Female","White",2009,"Biology","","","","Acute Care Nurse Practitioner Hospitalist","","Healthcare/Medical Services","Hudson","MA","Hudson, MA",1,-71.566139,42.391736
"2",331,10030899,0,"75","Female","White",1965,"Nursing","","","","Admissions Nurse","Nurse","Healthcare/Medical Services","Andover","MA","Andover, MA",1,-71.1367953,42.6583356
"3",340,10047850,0,"59","Female","White",1981,"Nursing","","","","Adult Nurse Practioner","","","New York","NY","New York, NY",1,-74.0059728,40.7127753
"4",341,10089639,0,"47","Female","Asian",1995,"Biology","","","","Adult Nurse Practitioner","Nurse","Healthcare/Medical Services","Lakeville","MA","Lakeville, MA",1,-70.9495226,41.8459169
"5",342,10020346,0,"64","Female","",1976,"Nursing","","","","Adult Nurse Practitioner","","","Medfield","MA","Medfield, MA",1,-71.3064597,42.1875826
"6",343,10057459,0,"","Female","",1980,"Management","Sociology","","","Adult Nurse Practitioner, EU Hospital","","","Hampton","GA","Hampton, GA",1,-84.2829784,33.3870578
"7",344,10041495,0,"45","Female","White",1960,"Nursing","","","","Advanced Practice Nurse","","","Pittsford","NY","Pittsford, NY",1,-77.5275463,43.0789942
"8",604,135302,0,"47","Female","White",1993,"Nursing","","","","Assistant Nurse Manager RN","","Healthcare/Medical Services","Northborough","MA","Northborough, MA",1,-71.6411997,42.3195556
"9",1031,10047701,0,"54","Female","",1986,"Nursing","","","","Behavioral Health Clinical Nurse Specialist","","Healthcare/Medical Services","London","","London, ",1,-0.1277583,51.5073509
"10",1097,10051187,0,"56","Female","",1985,"Nursing","","","","BSN Staff Nurse","","","Peabody","MA","Peabody, MA",1,-70.9286609,42.5278731
"11",1216,1316716,0,"28","Female","Asian",2012,"Nursing","","","","Camp Nurse","","","Braintree","MA","Braintree, MA",1,-71.0040013,42.2079017
"12",1220,1408601,0,"35","Female","",2011,"Nursing","","","","Campus Nurse/Health Services Coordinator","","Healthcare/Medical Services","Charlestown","MA","Charlestown, MA",1,-71.0602131,42.3782065
"13",1225,305306,0,"49","Female","White",1996,"Nursing","","","","Cardiac ICU Nurse","","Education - Higher","Dudley","MA","Dudley, MA",1,-71.9276033,42.0433661
"14",1226,1318114,0,"29","Female","White",2012,"Nursing","","","","Cardiac Nurse","Nurse","Healthcare/Medical Services","Laguna Beach","CA","Laguna Beach, CA",1,-117.7853568,33.5427189
"15",1259,957441,0,"31","Female","Latino/a or Hispanic",2012,"Nursing","","","","Case Manager- RN","Nurse","Healthcare/Medical Services","Hudson","NH","Hudson, NH",1,-71.4398074,42.7647763
"16",1262,10040836,0,"62","Female","",1978,"Nursing","","","","Case Manager, Registered Nurse","","","Jupiter","FL","Jupiter, FL",1,-80.0942087,26.9342246
"17",1263,10030718,0,"48","Female","White",1968,"Nursing","","","","Case Manager, Resgistered Nurse","","","Hanson","MA","Hanson, MA",1,-70.8800187,42.0751892
"18",1302,10020872,0,"49","Female","",1970,"Nursing","","","","Certified Nurse & Midwife","","","Hampton","NH","Hampton, NH",1,-70.8389219,42.9375932
"19",1303,10048795,0,"56","Female","White",1984,"Nursing","","","","Certified Nurse Midwife","","","Scituate","MA","Scituate, MA",1,-70.7258633,42.195929
"20",1304,10049190,0,"57","Female","Black or African American",1984,"Nursing","","","","Certified Nurse Midwife","","","Springfield","MA","Springfield, MA",1,-72.589811,42.1014831
"21",1305,283602,0,"45","Female","White",1996,"Biology","","","","Certified Nurse Midwife","","","Altamonte Springs","FL","Altamonte Springs, FL",1,-81.3656242,28.6611089
