"","ID","Dead","Age","Gender","Race","Class","Major1","Major2","Minor1","Minor2","Position","Profession","Industry","City","State","loc"
"395",415981,0,21,"Female","Latino/a or Hispanic",2001,"Computer Science","History","","","Analyst","","","Abington","MA","Abington, MA"
"415",505256,0,22,"Female","Asian",2001,"Computer Science","","Mathematics","","Application Support Advisor","","","Vancouver","BC","Vancouver, BC"
"624",601251,0,17,"Female","",2005,"Computer Science","English","","","Assistant Professor","","Education - Higher","Brighton","MA","Brighton, MA"
"845",1479569,0,6,"Female","White",2016,"Computer Science","Mathematics","Scientific Computation","","Associate Software Engineer","","Computers - General","Dedham","MA","Dedham, MA"
"1121",568101,0,33,"Female","",2004,"Computer Science","Management Information Systems","Economics","","Business Analyst","","","Somerville","MA","Somerville, MA"
"1427",284106,0,24,"Female","Black or African American",1998,"Computer Science","Management Information Systems","","","Childcare Provider","","Childcare Services","Hudson","MA","Hudson, MA"
"1781",487878,0,20,"Female","",2005,"Computer Science","","","","Communications Officer & Research Associate","","","Dhaka","","Dhaka, "
"1821",557323,0,19,"Unknown","White",2003,"Computer Science","","Philosophy","","Compositor and Software Developer","","","Boston","MA","Boston, MA"
"1828",10048241,0,1,"Female","",1987,"Computer Science","Mathematics","","","Computer Programmer","","","Roslindale","MA","Roslindale, MA"
"2024",10048821,0,39,"Female","",1985,"Computer Science","","","","Corporate Manager","","","Somerville","MA","Somerville, MA"
"2194",260595,0,52,"Female","White",1998,"Computer Science","","","","Database Administrator","","","Hopkinton","MA","Hopkinton, MA"
"2227",1021489,0,13,"Female","White",2009,"Computer Science","","","","Deployment Coordinator","","Education - Higher","Methuen","MA","Methuen, MA"
"2242",10057103,0,37,"Female","",1985,"Computer Science","","","","Deputy Managing Director","","","Bangkok","","Bangkok, "
"2349",250574,0,26,"Female","White",1997,"Art","Computer Science","","","Direct Support Proffesor, Behavioral Specialist","","","Rochester","NH","Rochester, NH"
"2406",793,0,29,"Female","Asian",1995,"Computer Science","Human Services","","","Director","","","Boston","MA","Boston, MA"
"3007",10054628,0,38,"Female","",1985,"Computer Science","","","","English Conversation Teacher","","","Port Townsend","WA","Port Townsend, WA"
"3163",10037253,0,47,"Female","",1975,"Biology","Computer Science","","","Executive Director","","","Chestnut Hill","MA","Chestnut Hill, MA"
"3277",333408,0,23,"Female","White",1999,"Computer Science","Education","","","Fifth Grade Teacher","","","Uxbridge","MA","Uxbridge, MA"
"3430",10037678,0,1,"Female","Black or African American",1976,"Computer Science","Nutrition","","","Founder and President","","","Hopedale","OH","Hopedale, OH"
"3717",166656,0,28,"Female","White",1995,"Computer Science","Mathematics","","","Head, Library Technology Services Section","","Government - Federal","Washington","DC","Washington, DC"
"3783",10047841,0,37,"Female","White",1986,"Computer Science","","","","Higher Education Administration","","","Virginia Beach","VA","Virginia Beach, VA"
"3999",698632,0,25,"Female","Black or African American",2005,"Computer Science","","Philosophy","","Information Technology Instructor","","Education - Related Services","Hyde Park","MA","Hyde Park, MA"
"4018",1182860,0,11,"Female","White",2011,"Computer Science","English","","","Installation Programmer II","","Computers - General","Marshfield","MA","Marshfield, MA"
"4064",571026,0,20,"Female","",2003,"Computer Science","Mathematics","","","Integration & Engineering Specialist","","Computers - System Design/Services","University Park","FL","University Park, FL"
"4073",1317619,0,15,"Female","White",2010,"Computer Science","","","","Interactive Web Developer","","Computers - General","Potomac","MD","Potomac, MD"
"4161",461020,0,21,"Female","Asian",2002,"Biochemistry","Computer Science","Mathematics","","IT Project and Portfolio Manager","","Manufacturing","Laguna Woods","CA","Laguna Woods, CA"
"4163",393871,0,23,"Female","White",2000,"Computer Science","Public Relations and Marketing","","","IT Project Manager","","","Belmont","MA","Belmont, MA"
"4164",1434433,0,8,"Female","White",2014,"Computer Science","","","","IT Support","","","Overland Park","KS","Overland Park, KS"
