"","Key","Year","Month","MSW","Recycled","Composted","Total","Num_Res","Event_Count","Event_HC","Average_HC","Days_InSession"
"1","2015-07",2015,7,23.26,6.56,1.32,31.14,100,99,6175,62,0
"2","2015-08",2015,8,9.29,6.37,1.74,17.4,100,88,4570,52,0
"3","2015-09",2015,9,18.04,2.13,4.45,24.62,1127,133,8275,62,19
"4","2015-10",2015,10,35.95,0,2.845,38.795,1113,142,9608,68,22
"5","2015-11",2015,11,32.27,4.06,5.47,41.8,1109,129,7599,59,19
"6","2015-12",2015,12,22.16,11.24,2.18,35.58,1107,95,6452,68,14
"7","2016-01",2016,1,24.44,5.97,1.43,31.84,1061,87,4927,57,8
"8","2016-02",2016,2,25.61,8.54,3.99,38.14,1056,134,7614,57,20
"9","2016-03",2016,3,33.09,10.61,3.56,47.26,1053,127,7176,57,21
"10","2016-04",2016,4,30.44,8.04,3.94,42.42,1053,153,10134,66,21
"11","2016-05",2016,5,15.02,6.01,1.76,22.79,1053,104,8437,81,10
"12","2016-06",2016,6,12.97,4.8,0.77,18.54,100,102,6087,60,0
"13","2016-07",2016,7,21.82,5.29,0.86,27.97,100,83,6900,83,0
"14","2016-08",2016,8,12.9,14.61,0.83,28.34,100,85,4780,56,0
"15","2016-09",2016,9,28.79,7.42,2.52,38.73,1103,138,7187,52,19
"16","2016-10",2016,10,29.78,9.53,1.87,41.18,1102,140,9621,69,22
"17","2016-11",2016,11,28.11,8.43,2.672,39.212,1099,107,5896,55,19
"18","2016-12",2016,12,24.07,5.12,2.18,31.37,1091,91,6798,75,14
"19","2017-01",2017,1,20.49,9.78,2.65,32.92,1034,91,4012,44,8
"20","2017-02",2017,2,23.4,6.085,4.4,33.885,1031,115,7770,68,20
"21","2017-03",2017,3,34.06,8.65,3.005,45.715,1027,128,9155,72,21
"22","2017-04",2017,4,20.17,14.27,3.46,37.9,1023,132,10876,82,21
"23","2017-05",2017,5,22.49,6.48,3.327,32.297,1023,100,6557,66,10
"24","2017-06",2017,6,14.94,6.42,1.35,22.71,100,109,7744,71,0
"25","2017-07",2017,7,20.02,5.48,0.77,26.27,100,95,6755,71,0
"26","2017-08",2017,8,17.35,7.03,3.35,27.73,100,51,2697,53,0
"27","2017-09",2017,9,28.91,7.84,2.85,39.6,1102,117,6867,59,19
"28","2017-10",2017,10,30.27,13.42,3.76,47.45,1098,133,9263,70,22
"29","2017-11",2017,11,30.25,5.42,4.22,39.89,1095,101,5249,52,19
"30","2017-12",2017,12,19.88,7.81,2.17,29.86,1089,73,5363,73,14
"31","2018-01",2018,1,12.74,3.45,1.11,17.3,1065,64,3526,55,8
"32","2018-02",2018,2,33.34,12.88,3.4,49.62,1064,109,7469,69,20
"33","2018-03",2018,3,45.1,5.88,3.05,54.03,1061,129,9310,72,21
"34","2018-04",2018,4,21.8,9.27,3.34,34.41,1057,155,12450,80,21
"35","2018-05",2018,5,37.67,11.65,1.98,51.3,1056,99,7288,74,10
"36","2018-06",2018,6,12.58,6.15,1.33,20.06,100,91,13046,143,0
"37","2018-07",2018,7,12.55,9.72,2.05,24.32,100,NA,NA,NA,0
"38","2018-08",2018,8,23.24,6.43,1.85,31.52,100,NA,NA,NA,0
"39","2018-09",2018,9,31.95,5.97,3.05,40.97,1088,NA,NA,NA,19
